,parent,child,url,cat_id
0,职场提升,求职准备,https://study.163.com/category/480000003121024,480000003121024
1,职场提升,办公软件,https://study.163.com/category/480000003123036,480000003123036
2,职场提升,效率工具,https://study.163.com/category/480000003131028,480000003131028
3,职场提升,电脑基础,https://study.163.com/category/480000003134018,480000003134018
4,职场提升,个人提升,https://study.163.com/category/480000003134019,480000003134019
5,职场提升,职场能力,https://study.163.com/category/480000003126030,480000003126030
6,职场提升,商业管理,https://study.163.com/category/480000003119028,480000003119028
7,职场提升,专业岗位,https://study.163.com/category/480000003125052,480000003125052
8,编程与开发,编程语言,https://study.163.com/category/480000003131009,480000003131009
9,编程与开发,前端开发,https://study.163.com/category/480000003120007,480000003120007
10,编程与开发,后端开发,https://study.163.com/category/480000003126016,480000003126016
11,编程与开发,移动开发,https://study.163.com/category/480000003130010,480000003130010
12,编程与开发,网络与安全,https://study.163.com/category/480000003121005,480000003121005
13,AI/数据科学,人工智能,https://study.163.com/category/480000003127010,480000003127010
14,AI/数据科学,数据科学,https://study.163.com/category/480000003130013,480000003130013
15,AI/数据科学,大数据,https://study.163.com/category/480000003134007,480000003134007
16,AI/数据科学,区块链,https://study.163.com/category/480000003132006,480000003132006
17,AI/数据科学,云计算,https://study.163.com/category/480000003132007,480000003132007
18,产品与运营,产品经理,https://study.163.com/category/480000003130008,480000003130008
19,产品与运营,新媒体运营,https://study.163.com/category/480000003128006,480000003128006
20,产品与运营,产品运营,https://study.163.com/category/480000003130009,480000003130009
21,设计创意,设计软件基础,https://study.163.com/category/480000003132060,480000003132060
22,设计创意,工业设计,https://study.163.com/category/480000003121056,480000003121056
23,设计创意,平面设计,https://study.163.com/category/480000003124057,480000003124057
24,设计创意,互联网产品设计,https://study.163.com/category/480000003120053,480000003120053
25,设计创意,通用设计素养,https://study.163.com/category/480000003134058,480000003134058
26,设计创意,摄影及摄影后期,https://study.163.com/category/480000003127067,480000003127067
27,设计创意,三维设计,https://study.163.com/category/480000003131061,480000003131061
28,设计创意,动画&游戏,https://study.163.com/category/480000003120054,480000003120054
29,设计创意,视频制作及后期,https://study.163.com/category/480000003130083,480000003130083
30,设计创意,建筑家装设计,https://study.163.com/category/480000003127057,480000003127057
31,电商运营,淘宝电商,https://study.163.com/category/480000003129033,480000003129033
32,电商运营,跨境电商,https://study.163.com/category/480000003129034,480000003129034
33,电商运营,拼多多电商,https://study.163.com/category/480000003120023,480000003120023
36,电商运营,市场营销,https://study.163.com/category/480000003127033,480000003127033
37,语言学习,生活英语,https://study.163.com/category/480000003126038,480000003126038
38,语言学习,职场英语,https://study.163.com/category/480000003125035,480000003125035
39,语言学习,新概念英语,https://study.163.com/category/480000003126039,480000003126039
40,语言学习,英语零基础,https://study.163.com/category/480000003123043,480000003123043
41,语言学习,英语考试,https://study.163.com/category/480000003132037,480000003132037
42,语言学习,出国留学,https://study.163.com/category/480000003121036,480000003121036
43,语言学习,少儿英语,https://study.163.com/category/480000003128036,480000003128036
44,语言学习,日语,https://study.163.com/category/480000003130047,480000003130047
45,语言学习,韩语,https://study.163.com/category/480000003127036,480000003127036
46,语言学习,法语,https://study.163.com/category/480000003134029,480000003134029
47,语言学习,小语种,https://study.163.com/category/480000003134030,480000003134030
48,职业考试,计算机认证,https://study.163.com/category/400000001331001,400000001331001
49,职业考试,建筑工程,https://study.163.com/category/400000001322001,400000001322001
50,职业考试,项目管理,https://study.163.com/category/400000001326002,400000001326002
51,职业考试,医药卫生,https://study.163.com/category/400000001322002,400000001322002
52,职业考试,金融财会,https://study.163.com/category/400000001374005,400000001374005
54,职业考试,网络营销,https://study.163.com/category/480000003408002,480000003408002
55,职业考试,室内设计,https://study.163.com/category/480000003435001,480000003435001
56,职业考试,更多考试,https://study.163.com/category/400000001324003,400000001324003
57,生活兴趣,摄影,https://study.163.com/category/480000003131065,480000003131065
58,生活兴趣,绘画,https://study.163.com/category/480000003127045,480000003127045
59,生活兴趣,音乐,https://study.163.com/category/480000003132052,480000003132052
60,生活兴趣,书法,https://study.163.com/category/480000003131048,480000003131048
61,生活兴趣,个人理财,https://study.163.com/category/480000003129067,480000003129067
62,生活兴趣,学习辅导,https://study.163.com/category/480000003134049,480000003134049
63,生活兴趣,心理学科,https://study.163.com/category/480000003130068,480000003130068
64,生活兴趣,生活百科,https://study.163.com/category/480000003120044,480000003120044
65,生活兴趣,运动健康,https://study.163.com/category/480000003131049,480000003131049
66,生活兴趣,亲子育儿,https://study.163.com/category/480000003130069,480000003130069
134,职场提升,自我认知,https://study.163.com/category/480000003125030,480000003125030
135,职场提升,职业形象,https://study.163.com/category/480000003128025,480000003128025
136,职场提升,职业规划,https://study.163.com/category/480000003132028,480000003132028
137,职场提升,求职应聘,https://study.163.com/category/480000003125031,480000003125031
138,职场提升,PPT,https://study.163.com/category/480000003124027,480000003124027
139,职场提升,Excel,https://study.163.com/category/480000003124028,480000003124028
140,职场提升,Word,https://study.163.com/category/480000003132030,480000003132030
141,职场提升,Keynote,https://study.163.com/category/480000003122026,480000003122026
142,职场提升,Project,https://study.163.com/category/480000003127028,480000003127028
143,职场提升,Outlook,https://study.163.com/category/480000003132031,480000003132031
144,职场提升,SPSS,https://study.163.com/category/480000003122027,480000003122027
145,职场提升,更多软件,https://study.163.com/category/480000003123037,480000003123037
146,职场提升,考试认证,https://study.163.com/category/480000003121028,480000003121028
147,职场提升,思维导图,https://study.163.com/category/480000003127027,480000003127027
148,职场提升,时间管理,https://study.163.com/category/480000003129038,480000003129038
149,职场提升,笔记工具,https://study.163.com/category/480000003122023,480000003122023
150,职场提升,项目管理工具,https://study.163.com/category/480000003122024,480000003122024
151,职场提升,更多效率工具,https://study.163.com/category/480000003122025,480000003122025
152,职场提升,基础知识,https://study.163.com/category/480000003121026,480000003121026
153,职场提升,操作系统,https://study.163.com/category/480000003121027,480000003121027
154,职场提升,常用技巧,https://study.163.com/category/480000003131030,480000003131030
155,职场提升,学习能力,https://study.163.com/category/480000003130034,480000003130034
156,职场提升,思维能力,https://study.163.com/category/480000003129037,480000003129037
157,职场提升,表达能力,https://study.163.com/category/480000003124026,480000003124026
158,职场提升,自我管理,https://study.163.com/category/480000003131029,480000003131029
159,职场提升,人脉管理,https://study.163.com/category/480000003134021,480000003134021
160,职场提升,职场效能,https://study.163.com/category/480000003126031,480000003126031
161,职场提升,职场人际,https://study.163.com/category/480000003130033,480000003130033
162,职场提升,向上管理,https://study.163.com/category/480000003132029,480000003132029
163,职场提升,跨界转型,https://study.163.com/category/480000003134020,480000003134020
164,职场提升,管理能力,https://study.163.com/category/480000003119029,480000003119029
165,职场提升,商业通识,https://study.163.com/category/480000003129036,480000003129036
166,职场提升,商业经典,https://study.163.com/category/480000003128026,480000003128026
167,职场提升,商业实战,https://study.163.com/category/480000003121025,480000003121025
168,职场提升,项目管理,https://study.163.com/category/480000003128042,480000003128042
169,职场提升,医学科研,https://study.163.com/category/480000003131047,480000003131047
170,职场提升,文献写作,https://study.163.com/category/480000003134048,480000003134048
171,职场提升,汽车制造,https://study.163.com/category/480000003126053,480000003126053
172,职场提升,人力资源管理,https://study.163.com/category/480000003132051,480000003132051
173,职场提升,职业培训,https://study.163.com/category/480000003124052,480000003124052
174,编程与开发,Python,https://study.163.com/category/480000003121007,480000003121007
175,编程与开发,PHP,https://study.163.com/category/480000003132004,480000003132004
176,编程与开发,Java,https://study.163.com/category/480000003130011,480000003130011
177,编程与开发,C,https://study.163.com/category/480000003130012,480000003130012
178,编程与开发,C++,https://study.163.com/category/480000003121008,480000003121008
179,编程与开发,C#,https://study.163.com/category/480000003119009,480000003119009
180,编程与开发,R,https://study.163.com/category/480000003129017,480000003129017
181,编程与开发,语言基础,https://study.163.com/category/480000003122008,480000003122008
182,编程与开发,前端框架,https://study.163.com/category/480000003129019,480000003129019
183,编程与开发,开发实践,https://study.163.com/category/480000003131013,480000003131013
184,编程与开发,Java Web,https://study.163.com/category/480000003131010,480000003131010
185,编程与开发,Python,https://study.163.com/category/480000003126017,480000003126017
186,编程与开发,PHP Web,https://study.163.com/category/480000003120006,480000003120006
187,编程与开发,.NET,https://study.163.com/category/480000003125016,480000003125016
188,编程与开发,微信开发,https://study.163.com/category/480000003124005,480000003124005
189,编程与开发,iOS,https://study.163.com/category/480000003128007,480000003128007
190,编程与开发,Unity3D,https://study.163.com/category/480000003134005,480000003134005
191,编程与开发,Android,https://study.163.com/category/480000003120005,480000003120005
192,编程与开发,信息安全,https://study.163.com/category/480000003121006,480000003121006
193,编程与开发,测试运维,https://study.163.com/category/480000003119008,480000003119008
194,AI/数据科学,语言数学基础,https://study.163.com/category/480000003129020,480000003129020
195,AI/数据科学,算法基础,https://study.163.com/category/480000003124010,480000003124010
196,AI/数据科学,应用技术,https://study.163.com/category/480000003129021,480000003129021
197,AI/数据科学,应用领域,https://study.163.com/category/480000003130014,480000003130014
198,AI/数据科学,数据分析,https://study.163.com/category/480000003124008,480000003124008
199,AI/数据科学,数据挖掘,https://study.163.com/category/480000003124009,480000003124009
200,AI/数据科学,数据基础,https://study.163.com/category/480000003123021,480000003123021
201,AI/数据科学,语言工具基础,https://study.163.com/category/480000003119011,480000003119011
202,AI/数据科学,大数据开发,https://study.163.com/category/480000003122009,480000003122009
203,AI/数据科学,大数据应用,https://study.163.com/category/480000003121009,480000003121009
204,产品与运营,交互设计,https://study.163.com/category/480000003123019,480000003123019
205,产品与运营,产品入门,https://study.163.com/category/480000003134001,480000003134001
206,产品与运营,项目管理,https://study.163.com/category/480000003132003,480000003132003
207,产品与运营,商业模式/案例,https://study.163.com/category/480000003125014,480000003125014
208,产品与运营,新媒体入门,https://study.163.com/category/480000003131006,480000003131006
209,产品与运营,文案写作,https://study.163.com/category/480000003129015,480000003129015
210,产品与运营,微信公众号,https://study.163.com/category/480000003127008,480000003127008
211,产品与运营,多平台运营,https://study.163.com/category/480000003120003,480000003120003
212,产品与运营,运营入门,https://study.163.com/category/480000003134002,480000003134002
213,产品与运营,用户运营,https://study.163.com/category/480000003131005,480000003131005
214,产品与运营,数据分析,https://study.163.com/category/480000003121003,480000003121003
215,设计创意,Photoshop,https://study.163.com/category/480000003132061,480000003132061
216,设计创意,After Effects,https://study.163.com/category/480000003120055,480000003120055
217,设计创意,Sketch,https://study.163.com/category/480000003130075,480000003130075
218,设计创意,Illustrator,https://study.163.com/category/480000003132062,480000003132062
219,设计创意,C4D,https://study.163.com/category/480000003127059,480000003127059
220,设计创意,Adobe XD,https://study.163.com/category/480000003127060,480000003127060
221,设计创意,3Dmax,https://study.163.com/category/480000003124058,480000003124058
222,设计创意,InDesign,https://study.163.com/category/480000003121057,480000003121057
223,设计创意,其他软件,https://study.163.com/category/480000003134059,480000003134059
224,设计创意,工业设计应用,https://study.163.com/category/480000003126063,480000003126063
225,设计创意,电商视觉设计,https://study.163.com/category/480000003124059,480000003124059
226,设计创意,海报设计,https://study.163.com/category/480000003128048,480000003128048
