,productId,productName,description,categoryId,provider,targetUrl,originalPrice,discountPrice,learnerCount,score,scoreLevel,productType,isTopGrade,topGrade
0,1002752015,个人品牌入门到精通,教你如何利用互联网打造个人品牌,480000003121024,勾俊伟,//study.163.com/course/introduction/1002752015.htm,499.0,0.0,1293,4.8,3,2,False,False
1,1006506017,升职加薪：新人职业发展必备技能,两个准备，带你更好地迎接新挑战,480000003121024,别Young职场,//study.163.com/course/introduction/1006506017.htm,169.0,68.0,390,4.9,3,2,False,False
2,1004488005,12堂声音美化课，提升个人魅力,帮助更多人练就自己的好声音,480000003121024,美的专业主义,//study.163.com/course/introduction/1004488005.htm,99.0,0.0,1749,4.6,2,2,False,False
0,1003271002,职场精英必备，职场加速器,玩转人际，职场避雷，薪酬倍增,480000003121024,八运会,//study.163.com/course/introduction/1003271002.htm,249.0,0.0,1693,4.9,3,2,False,False
1,1005441006,职场向上管理：如何搞定你的老板,50+个与老板的相处技巧,480000003121024,职场方寸山,//study.163.com/course/introduction/1005441006.htm,199.0,99.0,2873,4.9,3,2,False,False
2,1006090313,突围职业规划，如何找份好工作,职场新人，择业规划指导,480000003121024,别Young职场,//study.163.com/course/introduction/1006090313.htm,169.0,68.0,487,4.9,3,2,False,False
3,1002869005,重构你喜爱的人生,打破无效时间管理,480000003121024,八运会,//study.163.com/course/introduction/1002869005.htm,99.0,0.0,17080,4.8,3,2,False,False
4,1006301013,个体突围：普通人翻身逆袭的路径,开发自身人力资源，获得更好的发展,480000003121024,思维灯泡,//study.163.com/course/introduction/1006301013.htm,139.0,0.0,122,4.6,0,2,False,False
0,1208936832,手把手教你成为“面霸”,“最强大脑”明星学长,480000003121024,口袋学长,//study.163.com/course/introduction/1208936832.htm,199.0,99.0,298,4.7,2,2,False,False
1,1005923002,如何把握职场新机会,没有行业经验，如何打动面试官？,480000003121024,职场方寸山,//study.163.com/course/introduction/1005923002.htm,199.0,99.0,594,4.6,2,2,False,False
2,1005114013,生涯规划咨询师教你如何修改简历,“职场谋士”为您简历加分,480000003121024,八运会,//study.163.com/course/introduction/1005114013.htm,49.0,0.0,1243,4.3,1,2,False,False
3,1006187028,大厂Offer收割术,15位HR联合助力，大厂offer倒追你,480000003121024,王不烦,//study.163.com/course/introduction/1006187028.htm,99.0,0.0,436,4.6,2,2,False,False
4,1006117014,如何获得心仪offer？,5个必备步骤，10+个面试“套路”,480000003121024,职场方寸山,//study.163.com/course/introduction/1006117014.htm,199.0,0.0,323,3.8,0,2,False,False
0,718017,赢在性格,认识理解真实的自己和他人,480000003121024,多学多用,//study.163.com/course/introduction/718017.htm,0.0,0.0,14465,4.8,3,2,False,False
1,1003523031,哪个互联网岗位最适合我？,最适合你的互联网岗位是什么？,480000003121024,网易杭州研究院,//study.163.com/course/introduction/1003523031.htm,0.0,0.0,9899,4.7,2,2,False,False
2,1006130019,战略级的生涯规划,定位论，规划论，竞争论,480000003121024,八运会,//study.163.com/course/introduction/1006130019.htm,0.0,0.0,7142,4.7,2,2,False,False
3,1002715002,格局致胜,提升格局，扩展自己未来的可能,480000003121024,变色龙课堂,//study.163.com/course/introduction/1002715002.htm,0.0,0.0,65625,4.7,2,2,False,False
4,1003648005,TED演讲集：成功心理学,成功也可以发生在你身上,480000003121024,网易公开课,//study.163.com/course/introduction/1003648005.htm,0.0,0.0,11091,4.7,2,2,False,False
0,1003743015,最强思维导图训练营,助你理清思维、增强记忆，更好学习,480000003131028,职加速学院,//study.163.com/course/introduction/1003743015.htm,499.0,369.0,1796,4.8,3,2,False,False
1,1007015,思维导图入门到精通职场晋级秘籍,重在职场实战，赠送软件,480000003131028,达梦教育,//study.163.com/course/introduction/1007015.htm,768.0,286.0,522,4.6,2,2,False,False
2,1004936034,xmind8零基础/进阶/案例全程通关,教学环节严格遵守番茄工作法,480000003131028,高薪启蒙Array老师,//study.163.com/course/introduction/1004936034.htm,299.0,0.0,481,4.7,2,2,False,False
3,1003987008,高效脑图：xmind8 零基础专项班,教学环节严格遵守番茄工作法,480000003131028,高薪启蒙Array老师,//study.163.com/course/introduction/1003987008.htm,198.9,0.0,619,4.6,2,2,False,False
4,1005871080,人人用得上的思维导图课,全球6亿人都在用的学习工具！,480000003131028,干货帮,//study.163.com/course/introduction/1005871080.htm,99.0,0.0,249,4.5,2,2,False,False
